publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_name	package_id	vendor_name	vendor_id	resource_type	package_content_type
"Identifizierung von Entb¸rokratisierungspotenzialen in Einrichtungen der station‰ren Altenpflege in Deutschland : Abschlussbericht des Kompetenzteams im Auftrag des Bundesministeriums f¸r Familie, Senioren, Frauen und Jugend"									"http://www.bmfsfj.de/bmfsfj/generator/RedaktionBMFSFJ/Abteilung3/Pdf-Anlagen/entbuerokratisierung-in-der-stationaeren-altenhilfe,property=pdf,bereich="		539810770		fulltext			monograph		2006			"Gˆpfert-Divivier, Werner"			P					Book	EBook
Der demografische Wandel und seine Bedeutung f¸r die Kommunen : Wege zur St‰rkung der Selbstorganisation ‰lterer Menschen ; Vortrag auf der Fachtagung der Bundesarbeitsgemeinschaft Seniorenb¸ros (BaS) am 24.10.2005									http://www.seniorenbueros.org/fileadmin/user_upload/Fachtagung_2005/Schwitzer__DZA.pdf		786518057		fulltext			monograph		2006			"Schwitzer, Klaus-Peter"			P					Book	EBook
Monitoring Informations- und Kommunikationswirtschaft : Eine Sekund‰rstudie der TNS Infratest									http://www.tns-infratest.com/bmwi/		540154776		fulltext		TNS Infratest	serial								P					Journal	EJournal
"Nationaler Aktionsplan zur Umsetzung des Zweiten UN-Weltaltenplans, Madrid 2002 und der UNECE-Regionalen Implementierungsstrategie, Berlin, 2002 : Herausforderungen und Chancen ‰lter werdender Gesellschaften"									"http://www.bmfsfj.de/bmfsfj/generator/RedaktionBMFSFJ/Abteilung3/Pdf-Anlagen/nationaler-aktionsplan,property=pdf,bereich=,sprache=de,rwb=true.pdf"		548046891		fulltext			monograph		2007		Stand: Oktober 2007				P					Book	EBook
Age & ageing : the journal of the British Geriatrics Society and the British Society for Research on Ageing	0002-0729	1468-2834							https://academic.oup.com/ageing/issue		340873442		fulltext		Oxford Univ. Press	serial								P					Journal	EJournal
The international journal of aging & human development	0091-4150	1541-3535							https://journals.sagepub.com/home/ahd		341346330		fulltext		Sage Publishing	serial								P					Journal	EJournal
Ageing & society : the journal of the Centre for Policy on Ageing and the British Society of Gerontology	0144-686X	1469-1779							https://www.cambridge.org/core/journals/ageing-and-society/all-issues		306654636		fulltext		Cambridge University Press	serial								P					Journal	EJournal
Hallym international journal of aging	1535-6523	1541-4485									341345024		fulltext		Baywood	serial								P					Journal	EJournal
Pflege : die wissenschaftliche Zeitschrift f¸r Pflegeberufe	1012-5302	1664-283X							https://econtent.hogrefe.com/loi/pfl		346829720		fulltext		Hogrefe	serial								P					Journal	EJournal
Research on aging : a bimonthly journal of social gerontology and adult development	0164-0275	1552-7573							https://journals.sagepub.com/home/roa		324741723		fulltext		Sage	serial								P					Journal	EJournal
The gerontologist	0016-9013	1758-5341							https://academic.oup.com/gerontologist/issue		327645482		fulltext		Oxford Univ. Press	serial					"Wahl, Hans-Werner"			P					Journal	EJournal
The journals of gerontology	1079-5006	1758-535X							https://academic.oup.com/biomedgerontology/issue		32764611X		fulltext		Oxford Univ. Pr.	serial								P					Journal	EJournal
The journals of gerontology	1079-5014	1758-5368							https://academic.oup.com/psychsocgerontology/issue		32764625X		fulltext		Oxford Univ. Press	serial								P					Journal	EJournal
Journal of applied gerontology	0733-4648	1552-4523							https://journals.sagepub.com/home/jag		354545019		fulltext		Sage	serial					"Wahl, Hans-Werner"			P					Journal	EJournal
"European journal of ageing : social, behavioural and health perspectives"	1613-9372	1613-9380							https://doi.org/10.1007/10433.1613-9380		473206668		fulltext		Springer	serial					"Wahl, Hans-Werner"			P					Journal	EJournal
Zeitschrift f¸r Gerontopsychologie & -psychiatrie	1011-6877	1664-2899							https://econtent.hogrefe.com/loi/gps		355986205		fulltext		Huber	serial								P					Journal	EJournal
Zeitschrift f¸r Gerontologie und Geriatrie : Organ der Deutschen Gesellschaft f¸r Gerontologie und Geriatrie	0948-6704	1435-1269							https://link.springer.com/journal/391		254911013		fulltext		Springer Medizin	serial					"Wahl, Hans-Werner"			P					Journal	EJournal
Report Altersdaten									http://www.dza.de/informationsdienste/report-altersdaten.html		556490711		fulltext		DZA	serial								P					Journal	EJournal
Drucksachen	0720-2946|0720-2946								https://www.bundesrat.de/DE/service/archiv/bv-archiv/bv-archiv-node.html		338769641		fulltext		Bundesrat	serial								P					Journal	EJournal
Zur Lebenssituation ‰lterer Menschen in Deutschland : ausgew‰hlte Daten und Kurzinformationen									http://www.dza.de/no_cache/informationsdienste/diskussionspapiere-des-dza.html?download=Diskussionspapier_Nr_37.pdf&did=18		526493070		fulltext		Deutsches Zentrum f¸r Altersfragen	monograph		2002		Juli 2002	"Adolph, Holger"			P					Book	EBook
Governance und politische Steuerung der betrieblichen Altersversorgung									http://www.uni-bielefeld.de/soz/Forschung/Projekte/regina/pdf/Arbeitspapier12.pdf		55710579X		fulltext			monograph		2006			"Berner, Frank"			P					Book	EBook
Die Zeit	0044-2070								http://ezb.uni-regensburg.de/?2142480		385194684		fulltext		Zeitverl. Gerd Bucerius	serial								P					Journal	EJournal
International journal of ageing and later life : IJAL		1652-8670							http://www.ep.liu.se/ej/ijal/		513879374		fulltext		University Electronic Press	serial								P					Journal	EJournal
DAK-BGW-Gesundheitsreport ...									http://www.presse.dak.de/ps.nsf/inpBroschOrder0?Open		558370497		fulltext		"DAK, Gesundheitsmanagement f¸r Betriebe"	serial								P					Journal	EJournal
"DIW-Wochenbericht : Wirtschaft, Politik, Wissenschaft"	0012-1304	1860-8787							https://hdl.handle.net/10419/58047		324654928		fulltext		DIW	serial								P					Journal	EJournal
"Chancen erkennen und Nutzen. Alternde Gesellschaften im internationalen Vergleich : Gutachten des Bundesinstituts f¸r Bevˆlkerungsforschung im Auftrag des Bundesministeriums f¸r Familie, Senioren, Frauen und Jugend"									"http://www.bmfsfj.de/bmfsfj/generator/RedaktionBMFSFJ/Abteilung3/Pdf-Anlagen/chancen-erkennen-alternde-gesellschaft-internationaler-vergleich,property"		559379072		fulltext		"Bundesministerium f¸r Familie, Senioren, Frauen und Jugend"	monograph		2007			"Mai, Ralf"			P					Book	EBook
OASIS - Old Age and Autonomy: The Role of Service Systems and Intergenerational Family Solidarity : Erhebungsdesign und Instrumente des deutschen Survey									https://www.ssoar.info/ssoar/bitstream/handle/document/37012/ssoar-2000-tesch-romer_et_al-OASIS_-_Old_Age_and.pdf?sequence=1&isAllowed=y&lnkname=ssoar		593716965		fulltext		Deutsches Zentrum f¸r Altersfragen	monograph		2000		Erstellt: 2000	"Tesch-Rˆmer, Clemens"			P					Book	EBook
Sicherung der Solidarit‰t der Generationen : Zusammenhalt der Generationen im Zeichen des demographischen Wandels unter besonerer Ber¸cksichtigung der individuellen und familialen Faktoren und deren Spannungsverh‰ltnisse zur gesamtgesellschaftlichen Entwicklung ; Expertise zur Vorbereitung des Weltaltenplans 2002									http://www.dza.de/nc/informationsdienste/diskussionspapiere-des-dza.html?download=Diskussionspapier_Nr_33.pdf		593718682		fulltext		Deutsches Zentrum f¸r Altersfragen	monograph		2000		Herbst 2000	"Tesch-Rˆmer, Clemens"			P					Book	EBook
"Securing solidarity between generations : intergenerational cohesion in the face of demographic change, with particular focus on individual and familial factors and their relation to societal development ; preparatory expertise for the International Plan of Action on Ageing 2002"									https://www.ssoar.info/ssoar/bitstream/handle/document/37008/ssoar-2000-tesch-romer_et_al-Securing_solidarity_between_generations_.pdf?sequence=1&isAl		593722949		fulltext		German Centre of Gerontology	monograph		2000		Autumn 2000	"Tesch-Rˆmer, Clemens"			P					Book	EBook
Die zweite Welle des Alterssurveys : Erhebungsdesign und Instrumente									http://www.dza.de/nc/informationsdienste/diskussionspapiere-des-dza.html?download=Diskussionspapier_Nr_35.pdf		593723872		fulltext		Deutsches Zentrum f¸r Altersfragen	monograph		2002		Mai 2002	"Tesch-Rˆmer, Clemens"			P					Book	EBook
Gewalt gegen ‰ltere Menschen: Ergebnisse aus Literaturrecherchen									http://www.dza.de/nc/informationsdienste/diskussionspapiere-des-dza.html?download=Diskussionspapier_Nr_36.pdf		59372853X		fulltext		Deutsches Zentrum f¸r Altersfragen	monograph		2002		Okt. 2002	"Sowarka, Doris"			P					Book	EBook
Empfehlungen zur Verbesserung der Personalsituation in der Altenpflege und der Pflegequalit‰t aus Verbraucherperspektive. Ergebnisse zweier Experten Workshops des DZA									https://www.ssoar.info/ssoar/handle/document/37010		593729242		fulltext		Deutsches Zentrum f¸r Altersfragen	monograph		2003		M‰rz 2003	"Heinemann, Heike"			P					Book	EBook
Altersstudien und Studien mit alter(n)swissenschaftlichem Analysepotential : eine vergleichende Kurz¸bersicht									http://www.dza.de/nc/informationsdienste/diskussionspapiere-des-dza.html?download=Diskussionspapier_Nr_39.pdf		593729528		fulltext		Deutsches Zentrum f¸r Altersfragen	monograph		2003		Dezember 2003	"Motel-Klingebiel, Andreas"			P					Book	EBook
"Demografischer Wandel : Ergebnisse einer Repr‰sentativbefragung unter der bis 25-j‰hrigen Bevˆlkerung in Deutschland, Januar 2007"									"http://www.bmfsfj.de/RedaktionBMFSFJ/Broschuerenstelle/Pdf-Anlagen/demografischer-wandel-emnid,property=pdf,bereich=bmfsfj,sprache=de,rwb=true.pdf"		559813171		fulltext			monograph		2007						P					Book	EBook
Geplantes und realisiertes Austrittsalter aus dem Erwerbsleben : Ergebnisse des Alterssurveys 1996 und 2002									http://www.dza.de/nc/informationsdienste/diskussionspapiere-des-dza.html?download=Diskussionspapier_Nr_41.pdf		390468282		fulltext		Dt. Zentrum f¸r Altersfragen	monograph		2004		"[Elektronische Ressource], M‰rz 2004"	"Engstler, Heribert"			P					Book	EBook
